RESPUESTA;Contacto Directo;Efectivo
ACEPTA CRUCE DE RESERVA;1;1
ACEPTA_REACT_ABONO;1;1
ACEPTA_REACT_ALIVIO;1;1
ACEPTA_REACT_CRUCE_RESERV;1;1
ACEPTA_REACT_PAGO;1;1
ACEPTA_REACT_PR_TAYLOR;1;1
ACEPTA_REACT_SEPTIMA_CONT;1;1
ALIVIOS;1;1
ASOCIADO_AL_DIA;0;0
CUELGA;0;0
DEJA_MENSAJE_CON_TERCERO;0;0
DESEA_RETIRARSE;1;0
FALLECIDO;0;0
FUERA_DEL_PAIS;0;0
LLAMAD_CAIDA_MALA_CALIDAD;0;0
LLAMADA_DE_SEGUIMIENTO;1;0
NO_ACEPTA_AFECTAR_VR_PROT;1;0
NO_ACEPTA_OFERTAS_REACT;1;0
NO_CONTESTA;0;0
NO_PERMITE_BRINDAR_INFO;1;0
NO_VOLVER_A_LLAMAR;1;0
PAGO_NO_APLICADO;1;0
PLAN_DE_REACTIVACION;1;1
PLAN_REACTIV_NO_APLICADO;1;0
PROMESA_DE_PAGO;1;1
RETIRADO_SUSPEN_EXCLUIDO;1;0
SIN_ACUERDO_DE_PAGO;1;0
SISTEMA_NO_PERMITE_PLAN;1;0
TELEFONO_DANADO;0;0
TELEFONO_ERRADO;0;0
TRASLADO_A_INACTIVOS;1;0
TRASLADO_A_RETENCION;1;0
VOLVER_A_LLAM_LLAMAR_DESP;1;0
YA_TIENE_CONVENIO;1;0
ENVIO_CART_DIR_ERR/NO_EFE;0;0
ENVIO_CARTA_EFECTIVA;0;0
ENVIO_CARTA_RECHAZADA;0;0
ENVIO_EMAIL_ACTOR;0;0
ENVIO_EMAIL_DN;0;0
ENVIO_EMAIL_RECHA_NO_EFEC;0;0
ENVIO_MENSAJE_ACTOR;0;0
ENVIO_MENSAJE_DN;0;0
ENVIO_WHATSAPP_ACTOR;0;0
ACEPTA_REACT_ALIVIO2;1;1
ACEPTA_REACT_COND_CTA0;1;1
